category,economy_model_version,model,observations,MAE,RMSE,direction_accuracy,interval_coverage,mean_interval_width,MAE_improvement_vs_structural,RMSE_improvement_vs_structural,MAE_improvement_vs_economy_core,RMSE_improvement_vs_economy_core
Category A,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural,193,2843.655322133803,3943.9069927675428,0.6217616580310881,0.7398843930635838,7114.939123210333,0.0,0.0,0.003727135154318056,0.006021131520563641
Category A,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural_plus_economy,193,2854.293660376138,3967.7976241092847,0.6113989637305699,0.7109826589595376,6824.265205182977,-0.0037410786601072108,-0.006057605157919116,0.0,0.0
Category A,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural_plus_economy_financing,193,2863.6249945888694,4013.824610968531,0.5958549222797928,0.7341040462427746,6865.494258458855,-0.007022536205295652,-0.017728008882868015,-0.003269227109414367,-0.011600134689222904
Category A,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,persistence,193,3007.6580310880827,4220.798481784483,0.010362694300518135,,,-0.05767320240176517,-0.0702074084213223,-0.0537311114273134,-0.06376354886093595
Category B,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural,193,3932.709066711272,6353.848212827843,0.5647668393782384,0.6763005780346821,8626.775976693407,0.0,0.0,-0.004312412693047962,-0.008313929287204215
Category B,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural_plus_economy,193,3915.822424384634,6301.458333834083,0.5544041450777202,0.6647398843930635,8534.486668884385,0.004293895642974575,0.00824537779923509,0.0,0.0
Category B,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural_plus_economy_financing,193,3963.236843092565,6496.305605053967,0.538860103626943,0.6647398843930635,8547.224186788884,-0.0077625310856827955,-0.02242064768536896,-0.012108419016314835,-0.03092098065200265
Category B,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,persistence,193,3991.937823834197,6388.888342980127,0.0051813471502590676,,,-0.01506054887819478,-0.005514788672719856,-0.01943790887338934,-0.013874567522982937
Category D,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural,193,427.2981408992096,840.1731633991894,0.538860103626943,0.791907514450867,1127.9213635805306,0.0,0.0,0.041177009872644534,0.010266051678610832
Category D,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural_plus_economy,193,445.64861846132186,848.8878903508785,0.48704663212435234,0.7745664739884393,1159.3215214794,-0.042945371874296846,-0.010372536676166645,0.0,0.0
Category D,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,structural_plus_economy_financing,193,450.21057243429266,853.4655761424833,0.47150259067357514,0.7861271676300579,1170.2728073785324,-0.05362165041688677,-0.01582103942658103,-0.010236661315638596,-0.005392568139607575
Category D,v0.8-structural-economy-financing-exact-cutoffs-post-2015-1,persistence,193,408.6269430051814,818.463823933644,0.015544041450777202,,,0.043695949284348445,0.025839125089063022,0.08307369062191679,0.03583991097417944
