tender_id,category,forecast_cutoff_at,exercise_end_at,source_url
2024-01-1,Category A,2024-01-02T12:00:00+08:00,2024-01-04T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-01-1,Category B,2024-01-02T12:00:00+08:00,2024-01-04T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-01-2,Category A,2024-01-15T12:00:00+08:00,2024-01-17T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-01-2,Category B,2024-01-15T12:00:00+08:00,2024-01-17T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-02-1,Category A,2024-02-05T12:00:00+08:00,2024-02-07T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-02-1,Category B,2024-02-05T12:00:00+08:00,2024-02-07T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-02-2,Category A,2024-02-19T12:00:00+08:00,2024-02-21T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-02-2,Category B,2024-02-19T12:00:00+08:00,2024-02-21T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-03-1,Category A,2024-03-04T12:00:00+08:00,2024-03-06T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-03-1,Category B,2024-03-04T12:00:00+08:00,2024-03-06T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-03-2,Category A,2024-03-18T12:00:00+08:00,2024-03-20T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-03-2,Category B,2024-03-18T12:00:00+08:00,2024-03-20T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-04-1,Category A,2024-04-01T12:00:00+08:00,2024-04-03T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-04-1,Category B,2024-04-01T12:00:00+08:00,2024-04-03T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-04-2,Category A,2024-04-15T12:00:00+08:00,2024-04-17T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-04-2,Category B,2024-04-15T12:00:00+08:00,2024-04-17T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-05-1,Category A,2024-05-06T12:00:00+08:00,2024-05-08T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-05-1,Category B,2024-05-06T12:00:00+08:00,2024-05-08T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
2024-05-2,Category A,2024-05-20T12:00:00+08:00,2024-05-23T16:00:00+08:00,https://onemotoring.lta.gov.sg/content/dam/onemotoring/Buying/PDF/COE/COE_Bidding_Schedule_for_Year_2024.pdf
